# mean min max
1000000.000000 905027.000000 1158124.000000
2000000.000000 1803655.000000 2374426.000000
3000000.000000 2704100.000000 3687062.000000
4000000.000000 3598830.000000 5062288.000000
5000000.000000 4482701.000000 6506381.000000
6000000.000000 5367310.000000 7966788.000000
7000000.000000 6250089.000000 9432382.000000
8000000.000000 7117761.000000 11025503.000000
9000000.000000 7993965.000000 12575196.000000
10000000.000000 8864453.000000 14234357.000000
11000000.000000 9716484.000000 15961511.000000
12000000.000000 10566843.000000 17680529.000000
13000000.000000 11410286.000000 19445925.000000
14000000.000000 12228852.000000 21303761.000000
15000000.000000 13037794.000000 23187316.000000
16000000.000000 13866693.000000 25022828.000000
17000000.000000 14686328.000000 26892196.000000
18000000.000000 15520090.000000 28673760.000000
19000000.000000 16387450.000000 30246896.000000
20000000.000000 17367020.000000 31474619.000000
21000000.000000 18273635.000000 32524639.000000
22000000.000000 19231451.000000 33542675.000000
23000000.000000 20187927.000000 34566995.000000
24000000.000000 21140544.000000 35604541.000000
25000000.000000 22086982.000000 36650663.000000
26000000.000000 23046244.000000 37712021.000000
27000000.000000 23992197.000000 38755272.000000
28000000.000000 24955938.000000 39785981.000000
29000000.000000 25909810.000000 40821768.000000
30000000.000000 26837027.000000 41876055.000000
31000000.000000 27779957.000000 42896889.000000
32000000.000000 28704185.000000 43954199.000000
33000000.000000 29633499.000000 44987181.000000
34000000.000000 30580235.000000 46032184.000000
35000000.000000 31531450.000000 47067321.000000
36000000.000000 32462713.000000 48103530.000000
37000000.000000 33415905.000000 49132514.000000
38000000.000000 34355166.000000 50151327.000000
39000000.000000 35295229.000000 51168484.000000
40000000.000000 36247558.000000 52183405.000000
41000000.000000 37198529.000000 53203087.000000
42000000.000000 38123944.000000 54242646.000000
43000000.000000 39051172.000000 55272648.000000
44000000.000000 39984512.000000 56280261.000000
45000000.000000 40906999.000000 57326615.000000
46000000.000000 41810092.000000 58354492.000000
47000000.000000 42735691.000000 59385547.000000
48000000.000000 43660535.000000 60414211.000000
49000000.000000 44573233.000000 61430044.000000
50000000.000000 45489298.000000 62455617.000000
51000000.000000 46396051.000000 63481374.000000
52000000.000000 47303146.000000 64509452.000000
53000000.000000 48212187.000000 65535954.000000
54000000.000000 49121866.000000 66555520.000000
55000000.000000 50030754.000000 67585121.000000
56000000.000000 50946736.000000 68600638.000000
57000000.000000 51852497.000000 69621670.000000
58000000.000000 52755023.000000 70636880.000000
59000000.000000 53674900.000000 71662858.000000
60000000.000000 54575973.000000 72679687.000000
61000000.000000 55496391.000000 73703956.000000
62000000.000000 56407195.000000 74714099.000000
63000000.000000 57318151.000000 75737023.000000
64000000.000000 58235585.000000 76763963.000000
65000000.000000 59146026.000000 77779634.000000
66000000.000000 60058633.000000 78802508.000000
67000000.000000 60967344.000000 79824115.000000
68000000.000000 61887897.000000 80853738.000000
69000000.000000 62863385.000000 81888335.000000
70000000.000000 63872096.000000 82942686.000000
71000000.000000 64908557.000000 84005670.000000
72000000.000000 65956609.000000 85058476.000000
73000000.000000 66900637.000000 86092725.000000
74000000.000000 67805789.000000 87113030.000000
75000000.000000 68714463.000000 88135650.000000
76000000.000000 69630160.000000 89148584.000000
77000000.000000 70548473.000000 90158263.000000
78000000.000000 71479188.000000 91165176.000000
79000000.000000 72415972.000000 92168536.000000
80000000.000000 73373666.000000 93161884.000000
81000000.000000 74338484.000000 94149179.000000
82000000.000000 75312024.000000 95136766.000000
83000000.000000 76290668.000000 96127806.000000
84000000.000000 77274172.000000 97114413.000000
85000000.000000 78263060.000000 98104550.000000
86000000.000000 79249526.000000 99093069.000000
87000000.000000 80242492.000000 100085096.000000
88000000.000000 81233146.000000 101073973.000000
89000000.000000 82225046.000000 102065686.000000
90000000.000000 83224446.000000 103056325.000000
91000000.000000 84215097.000000 104049342.000000
92000000.000000 85209293.000000 105043142.000000
93000000.000000 86206418.000000 106036813.000000
94000000.000000 87202866.000000 107031028.000000
95000000.000000 88201634.000000 108024252.000000
96000000.000000 89199603.000000 109018324.000000
97000000.000000 90197554.000000 110015000.000000
98000000.000000 91197173.000000 111014056.000000
99000000.000000 92193046.000000 112003762.000000
100000000.000000 93192175.000000 112993354.000000
101000000.000000 94185926.000000 113981701.000000
102000000.000000 95178676.000000 114965735.000000
103000000.000000 96166787.000000 115941664.000000
104000000.000000 97151964.000000 116915531.000000
105000000.000000 98141411.000000 117886569.000000
105980188.802083 99106348.000000 118853081.000000
105980188.802083 99106348.000000 118853081.000000
