x y
42732 1.6807e+06
0 21941
48018 1.843e+06
0 21024
41629 1.6016e+06
0 21952
40242 1.5777e+06
0 22901
41933 1.6318e+06
0 18797
41139 1.6273e+06
0 22247
48155 1.8751e+06
0 20698
38035 1.5048e+06
0 18893
52408 1.9747e+06
0 19385
37000 1.4834e+06
0 20929
41117 1.6281e+06
0 18160
40407 1.5751e+06
0 16640
35108 1.4383e+06
0 18517
36448 1.457e+06
0 21537
49716 1.8854e+06
0 17551
54499 2.0426e+06
0 21006
44145 1.6925e+06
0 19495
51257 1.9547e+06
0 20720
38494 1.513e+06
0 21655
50249 1.8685e+06
0 17961
37470 1.5119e+06
0 22550
48228 1.7761e+06
0 19194
68195 2.3796e+06
0 21308
42962 1.618e+06
0 19482
39860 1.5546e+06
0 17754
37795 1.5094e+06
0 20617
42688 1.633e+06
0 19382
40254 1.6047e+06
0 19685
49039 1.8059e+06
0 21236
57548 2.1181e+06
0 17144
39123 1.5433e+06
0 20304
46781 1.7738e+06
0 20669
47069 1.8078e+06
0 16751
41094 1.5895e+06
0 20141
40456 1.5967e+06
0 18754
42732 1.6339e+06
0 16317
40339 1.5422e+06
0 17113
54039 1.9569e+06
0 19532
39076 1.5604e+06
0 19714
52134 1.9488e+06
0 20347
48635 1.9001e+06
0 18713
52754 1.9981e+06
0 18104
63073 2.2678e+06
0 20854
42069 1.6573e+06
0 21761
45955 1.7374e+06
0 21825
48919 1.8463e+06
0 19624
43723 1.6843e+06
0 20547
38709 1.5359e+06
0 19931
50012 1.9067e+06
0 17699
43717 1.6405e+06
0 19320
43289 1.6254e+06
0 19639
36455 1.4693e+06
0 16008
40386 1.5786e+06
0 19217
51363 1.8808e+06
0 18296
52157 1.8956e+06
0 18125
53592 1.9997e+06
0 19353
40096 1.5508e+06
0 19935
47168 1.8052e+06
0 20844
41750 1.6692e+06
0 19027
44845 1.7481e+06
0 22370
41859 1.635e+06
0 18407
34025 1.396e+06
0 20538
49390 1.9203e+06
0 23011
49209 1.8524e+06
0 20247
50255 1.8597e+06
0 20103
36003 1.455e+06
0 23553
44416 1.7404e+06
0 19175
41840 1.6137e+06
0 20388
45622 1.7372e+06
0 20415
36908 1.5002e+06
0 18201
43096 1.6916e+06
0 18573
36313 1.4751e+06
0 22262
41758 1.6371e+06
0 19990
34271 1.3808e+06
0 19693
54211 1.9719e+06
0 18779
55727 2.0711e+06
0 17854
44243 1.7346e+06
0 18438
39238 1.57e+06
0 19082
40312 1.5822e+06
0 19088
37536 1.486e+06
0 17256
50369 1.8856e+06
0 21333
46932 1.7398e+06
0 19800
41318 1.6054e+06
0 18267
38395 1.4997e+06
0 20092
39852 1.55e+06
0 23235
35968 1.4717e+06
0 21642
44281 1.7165e+06
0 19785
51231 1.9281e+06
0 22576
38393 1.5278e+06
0 20289
44060 1.745e+06
0 17444
44340 1.7289e+06
0 19995
45792 1.7432e+06
0 16334
50985 1.8923e+06
0 18766
43387 1.6929e+06
0 21845
41707 1.6127e+06
0 18473
52555 1.9468e+06
0 16944
36459 1.4394e+06
0 18607
41221 1.6127e+06
0 17398
41424 1.6114e+06
0 16929
56847 2.0742e+06
0 18437
46833 1.7848e+06
0 16443
40028 1.5912e+06
0 18006
40455 1.5913e+06
0 17225
44136 1.6826e+06
0 17527
32993 1.3483e+06
0 23039
55664 2.03e+06
0 20228
39213 1.5488e+06
0 24004
39168 1.5668e+06
0 23696
55515 2.003e+06
0 23356
44859 1.709e+06
0 22430
43358 1.7182e+06
0 19333
40868 1.6368e+06
0 21150
60634 2.1659e+06
0 19838
29706 1.2214e+06
0 16142
42085 1.6277e+06
0 20055
35372 1.4064e+06
0 19062
50623 1.898e+06
0 15840
36485 1.4344e+06
0 18903
42240 1.6668e+06
0 16615
51539 1.9078e+06
0 17823
44418 1.7434e+06
0 19012
47748 1.8536e+06
0 21134
54935 2.0463e+06
0 22071
47340 1.8094e+06
0 21458
71443 2.4857e+06
0 22735
32592 1.3612e+06
0 22128
47706 1.7787e+06
0 22706
51149 1.9344e+06
0 24314
