x y
1.3977e+05 5.7444e+06
1.3636e+05 5.6317e+06
1.54e+05 6.0324e+06
1.496e+05 5.8636e+06
1.5259e+05 6.0691e+06
1.3845e+05 5.5952e+06
1.4584e+05 5.9228e+06
1.373e+05 5.6131e+06
42732 1.6807e+06
0 21941
1.4019e+05 5.6668e+06
1.4287e+05 5.7812e+06
1.2861e+05 5.183e+06
1.4938e+05 5.7023e+06
1.4451e+05 5.7689e+06
1.4977e+05 5.8808e+06
1.5613e+05 6.1406e+06
1.4669e+05 5.8157e+06
48018 1.843e+06
0 21024
2.6208e+05 9.4052e+06
2.9156e+05 1.0238e+07
1.6946e+05 6.5268e+06
1.3823e+05 5.6114e+06
1.3261e+05 5.4919e+06
1.3725e+05 5.5947e+06
1.3871e+05 5.6962e+06
1.5392e+05 6.0637e+06
41629 1.6016e+06
0 21952
1.3934e+05 5.8172e+06
1.4246e+05 5.845e+06
1.7799e+05 6.8387e+06
1.5665e+05 6.2566e+06
1.293e+05 5.4255e+06
1.7343e+05 6.717e+06
1.3048e+05 5.3915e+06
1.4147e+05 5.7746e+06
40242 1.5777e+06
0 22901
1.6504e+05 6.3593e+06
1.7158e+05 6.5356e+06
1.4444e+05 5.7031e+06
1.2855e+05 5.2143e+06
1.3245e+05 5.4991e+06
1.328e+05 5.3813e+06
1.2742e+05 5.3067e+06
1.7237e+05 6.5999e+06
41933 1.6318e+06
0 18797
1.8832e+05 7.0946e+06
2.015e+05 7.3953e+06
1.8571e+05 6.9844e+06
1.4702e+05 5.9733e+06
1.5163e+05 6.1469e+06
1.5043e+05 5.9733e+06
1.433e+05 5.835e+06
1.4526e+05 5.9049e+06
41139 1.6273e+06
0 22247
1.4818e+05 6.0048e+06
1.4694e+05 6.017e+06
1.5185e+05 5.9996e+06
1.4056e+05 5.6719e+06
1.403e+05 5.7936e+06
1.5936e+05 6.3e+06
1.3791e+05 5.6809e+06
1.3756e+05 5.6694e+06
48155 1.8751e+06
0 20698
1.3801e+05 5.6348e+06
1.3184e+05 5.469e+06
1.5067e+05 5.923e+06
1.3818e+05 5.6289e+06
1.4131e+05 5.7778e+06
1.4846e+05 5.935e+06
1.7331e+05 6.6865e+06
1.699e+05 6.667e+06
38035 1.5048e+06
0 18893
1.6565e+05 6.5837e+06
1.5758e+05 6.3459e+06
1.8215e+05 6.9014e+06
1.5507e+05 6.0957e+06
1.5275e+05 6.1985e+06
1.3625e+05 5.5757e+06
1.4161e+05 5.8204e+06
1.4707e+05 5.9414e+06
52408 1.9747e+06
0 19385
1.7403e+05 6.783e+06
1.9265e+05 7.3199e+06
1.4424e+05 5.7549e+06
1.3741e+05 5.5352e+06
1.3211e+05 5.5352e+06
1.5528e+05 6.0956e+06
1.3902e+05 5.7281e+06
1.3943e+05 5.7882e+06
37000 1.4834e+06
0 20929
1.3352e+05 5.6163e+06
1.3095e+05 5.5043e+06
1.2638e+05 5.1475e+06
1.7513e+05 6.5061e+06
1.3141e+05 5.4464e+06
1.6352e+05 6.3034e+06
1.4837e+05 6.0518e+06
1.5003e+05 6.0047e+06
41117 1.6281e+06
0 18160
1.3489e+05 5.6096e+06
1.4234e+05 5.7789e+06
1.6286e+05 6.3515e+06
1.6217e+05 6.2978e+06
1.4697e+05 5.9046e+06
1.4082e+05 5.7325e+06
1.3701e+05 5.6111e+06
1.3344e+05 5.4262e+06
40407 1.5751e+06
0 16640
1.3655e+05 5.6586e+06
1.4011e+05 5.7263e+06
1.7396e+05 6.7411e+06
1.6952e+05 6.5973e+06
1.6365e+05 6.3829e+06
1.5062e+05 6.0414e+06
1.5602e+05 6.1373e+06
1.5977e+05 6.2975e+06
35108 1.4383e+06
0 18517
1.1948e+05 5.0075e+06
1.2176e+05 5.1081e+06
1.6525e+05 6.4126e+06
1.3101e+05 5.423e+06
1.3131e+05 5.4552e+06
1.3322e+05 5.424e+06
1.307e+05 5.4488e+06
1.468e+05 5.8472e+06
36448 1.457e+06
0 21537
1.9694e+05 7.3805e+06
2.0716e+05 7.6886e+06
1.453e+05 5.7525e+06
1.3369e+05 5.4233e+06
1.3982e+05 5.745e+06
1.4706e+05 5.8903e+06
1.4411e+05 5.8887e+06
1.3667e+05 5.626e+06
49716 1.8854e+06
0 17551
1.9003e+05 7.1501e+06
1.9973e+05 7.4983e+06
1.4876e+05 5.8603e+06
1.397e+05 5.711e+06
1.3306e+05 5.5966e+06
1.5531e+05 6.1482e+06
1.411e+05 5.8174e+06
1.3912e+05 5.6875e+06
54499 2.0426e+06
0 21006
1.3561e+05 5.5707e+06
1.3148e+05 5.4703e+06
1.4388e+05 5.8242e+06
1.4098e+05 5.7199e+06
1.3892e+05 5.7023e+06
1.3549e+05 5.5464e+06
1.3791e+05 5.75e+06
1.3796e+05 5.5962e+06
44145 1.6925e+06
0 19495
1.2505e+05 5.2336e+06
1.2631e+05 5.2864e+06
1.4263e+05 5.6869e+06
1.4163e+05 5.7962e+06
1.5049e+05 6.0605e+06
1.3869e+05 5.7559e+06
1.6104e+05 6.3684e+06
1.4331e+05 5.8601e+06
51257 1.9547e+06
0 20720
1.3117e+05 5.4207e+06
1.3502e+05 5.5921e+06
1.6411e+05 6.3866e+06
1.5094e+05 5.9973e+06
1.4861e+05 5.9633e+06
1.5516e+05 6.1704e+06
1.5795e+05 6.2476e+06
1.5511e+05 6.2025e+06
38494 1.513e+06
0 21655
2.1346e+05 7.701e+06
2.3925e+05 8.3695e+06
1.5973e+05 6.3295e+06
1.5285e+05 6.1318e+06
1.3431e+05 5.5216e+06
1.3473e+05 5.4471e+06
1.2522e+05 5.126e+06
1.3603e+05 5.5318e+06
50249 1.8685e+06
0 17961
1.301e+05 5.4432e+06
1.3479e+05 5.615e+06
2.9676e+05 1.0195e+07
2.4718e+05 8.857e+06
1.4151e+05 5.7569e+06
1.5017e+05 6.0741e+06
1.4109e+05 5.7834e+06
1.488e+05 6.0194e+06
37470 1.5119e+06
0 22550
1.3671e+05 5.6071e+06
1.2823e+05 5.3824e+06
1.7642e+05 6.7657e+06
1.6412e+05 6.4795e+06
1.5603e+05 6.1522e+06
1.3666e+05 5.6134e+06
1.4537e+05 5.8738e+06
1.4648e+05 5.9275e+06
48228 1.7761e+06
0 19194
1.6206e+05 6.3708e+06
1.6136e+05 6.3111e+06
1.4968e+05 5.8861e+06
1.2662e+05 5.2308e+06
1.4342e+05 5.8551e+06
1.4475e+05 5.8065e+06
1.6134e+05 6.3911e+06
1.3258e+05 5.5115e+06
68195 2.3796e+06
0 21308
1.3961e+05 5.8214e+06
1.3588e+05 5.6863e+06
1.6469e+05 6.4018e+06
1.4862e+05 5.8773e+06
1.4441e+05 5.8936e+06
1.3913e+05 5.6497e+06
1.48e+05 6.0038e+06
1.4963e+05 6.0099e+06
42962 1.618e+06
0 19482
1.3234e+05 5.5057e+06
1.4218e+05 5.7498e+06
1.5687e+05 6.1436e+06
1.6821e+05 6.4729e+06
1.3826e+05 5.6862e+06
1.3608e+05 5.6032e+06
1.4522e+05 5.8655e+06
1.2992e+05 5.3673e+06
39860 1.5546e+06
0 17754
1.3568e+05 5.6329e+06
1.3415e+05 5.5921e+06
1.4356e+05 5.7132e+06
1.4272e+05 5.6977e+06
1.3761e+05 5.675e+06
1.6428e+05 6.43e+06
1.3175e+05 5.4957e+06
1.3905e+05 5.7605e+06
37795 1.5094e+06
0 20617
1.4732e+05 6.0366e+06
1.4708e+05 6.0546e+06
1.5385e+05 6.1327e+06
1.4381e+05 5.7309e+06
1.5232e+05 6.0964e+06
1.5149e+05 6.0586e+06
1.4855e+05 6.0206e+06
1.492e+05 6.0839e+06
42688 1.633e+06
0 19382
1.4632e+05 6.0795e+06
1.4113e+05 5.8854e+06
1.7943e+05 6.8405e+06
1.6148e+05 6.3332e+06
1.5747e+05 6.2793e+06
2.023e+05 7.5487e+06
1.4194e+05 5.8318e+06
1.4128e+05 5.8585e+06
40254 1.6047e+06
0 19685
1.5375e+05 6.2519e+06
1.6058e+05 6.4238e+06
1.4677e+05 5.8886e+06
1.3259e+05 5.4412e+06
1.2963e+05 5.4144e+06
1.3063e+05 5.434e+06
1.5295e+05 6.0645e+06
1.3635e+05 5.6371e+06
49039 1.8059e+06
0 21236
1.417e+05 5.845e+06
1.4749e+05 6.0083e+06
1.9566e+05 7.2979e+06
1.681e+05 6.4873e+06
1.311e+05 5.4351e+06
1.523e+05 6.1212e+06
1.3569e+05 5.6148e+06
1.3622e+05 5.6037e+06
57548 2.1181e+06
0 17144
1.3767e+05 5.594e+06
1.3672e+05 5.5712e+06
1.3672e+05 5.481e+06
1.3279e+05 5.417e+06
1.3645e+05 5.5426e+06
1.4697e+05 5.8075e+06
1.4786e+05 5.8462e+06
1.3963e+05 5.7735e+06
39123 1.5433e+06
0 20304
1.4367e+05 5.8793e+06
1.3424e+05 5.5594e+06
1.7102e+05 6.7085e+06
1.5638e+05 6.2051e+06
1.393e+05 5.7009e+06
1.4639e+05 5.8577e+06
1.3464e+05 5.4967e+06
1.5134e+05 6.0162e+06
46781 1.7738e+06
0 20669
1.7382e+05 6.7168e+06
1.9912e+05 7.4265e+06
1.5008e+05 5.8761e+06
1.4155e+05 5.6921e+06
1.3629e+05 5.6237e+06
1.457e+05 5.9479e+06
1.494e+05 5.9584e+06
1.6607e+05 6.4762e+06
47069 1.8078e+06
0 16751
1.458e+05 5.9298e+06
1.5296e+05 6.1537e+06
1.8638e+05 7.1122e+06
1.6247e+05 6.4907e+06
1.5015e+05 5.9963e+06
1.4386e+05 5.8042e+06
1.4348e+05 5.8189e+06
1.4602e+05 5.8631e+06
41094 1.5895e+06
0 20141
1.3166e+05 5.5444e+06
1.4011e+05 5.7697e+06
1.5113e+05 6.0761e+06
1.5741e+05 6.2541e+06
1.4745e+05 6.0139e+06
1.5524e+05 6.1061e+06
1.399e+05 5.7761e+06
1.4046e+05 5.8087e+06
40456 1.5967e+06
0 18754
1.4038e+05 5.735e+06
1.3333e+05 5.527e+06
1.3364e+05 5.5123e+06
1.3313e+05 5.3753e+06
1.34e+05 5.4865e+06
1.3465e+05 5.4238e+06
1.2745e+05 5.2923e+06
1.3616e+05 5.5077e+06
42732 1.6339e+06
0 16317
1.4569e+05 5.8439e+06
1.5435e+05 6.0843e+06
1.9464e+05 7.1645e+06
1.6247e+05 6.3206e+06
1.4667e+05 5.8382e+06
1.4831e+05 5.9392e+06
1.4867e+05 5.9717e+06
1.5159e+05 5.9489e+06
40339 1.5422e+06
0 17113
2.7108e+05 9.4021e+06
2.6618e+05 9.2041e+06
1.7178e+05 6.816e+06
1.5927e+05 6.3375e+06
1.431e+05 5.8684e+06
1.4037e+05 5.7664e+06
1.4173e+05 5.8509e+06
1.4806e+05 6.0491e+06
54039 1.9569e+06
0 19532
1.3235e+05 5.5966e+06
1.3404e+05 5.5858e+06
1.4861e+05 6.0778e+06
1.7503e+05 6.8127e+06
1.4125e+05 5.8049e+06
1.8428e+05 7.0364e+06
1.5224e+05 6.0964e+06
1.5025e+05 6.1516e+06
39076 1.5604e+06
0 19714
1.7051e+05 6.7636e+06
1.7137e+05 6.8244e+06
2.1496e+05 8.0005e+06
1.8903e+05 7.3122e+06
1.5281e+05 6.2426e+06
1.4865e+05 5.9216e+06
1.5479e+05 6.2358e+06
1.5952e+05 6.4825e+06
52134 1.9488e+06
0 20347
1.3168e+05 5.557e+06
1.4348e+05 5.897e+06
1.4352e+05 5.7061e+06
1.2423e+05 5.156e+06
1.3717e+05 5.6203e+06
1.3403e+05 5.5089e+06
1.4145e+05 5.7693e+06
1.3999e+05 5.7481e+06
48635 1.9001e+06
0 18713
1.4115e+05 5.7709e+06
1.523e+05 6.0611e+06
1.551e+05 6.1869e+06
1.5435e+05 6.1998e+06
1.4347e+05 5.8949e+06
1.4061e+05 5.7208e+06
1.3886e+05 5.6794e+06
1.4226e+05 5.869e+06
52754 1.9981e+06
0 18104
1.3443e+05 5.5036e+06
1.3708e+05 5.5965e+06
1.6269e+05 6.4388e+06
1.4709e+05 5.965e+06
1.5272e+05 6.1764e+06
1.3095e+05 5.343e+06
1.4459e+05 5.7922e+06
1.5117e+05 6.1584e+06
63073 2.2678e+06
0 20854
1.6913e+05 6.6366e+06
1.3075e+05 5.4843e+06
1.7608e+05 6.7843e+06
1.6455e+05 6.3616e+06
1.4507e+05 5.9388e+06
1.5362e+05 6.0849e+06
1.4481e+05 5.9699e+06
1.4719e+05 6.0593e+06
42069 1.6573e+06
0 21761
1.3212e+05 5.5278e+06
1.3146e+05 5.447e+06
1.5311e+05 5.9728e+06
1.5513e+05 6.0428e+06
1.3728e+05 5.6215e+06
1.447e+05 5.8828e+06
1.5083e+05 6.1016e+06
1.3726e+05 5.6389e+06
45955 1.7374e+06
0 21825
1.5158e+05 6.1259e+06
1.5262e+05 6.1274e+06
1.8046e+05 6.7634e+06
1.6719e+05 6.412e+06
1.3556e+05 5.5748e+06
1.4483e+05 5.8814e+06
1.3551e+05 5.5681e+06
1.6968e+05 6.5786e+06
48919 1.8463e+06
0 19624
1.5436e+05 6.1642e+06
1.5811e+05 6.2596e+06
1.8368e+05 6.9181e+06
1.8017e+05 6.8104e+06
1.6084e+05 6.2567e+06
1.3624e+05 5.5862e+06
1.5017e+05 5.9656e+06
1.5847e+05 6.27e+06
43723 1.6843e+06
0 20547
1.3223e+05 5.5225e+06
1.3042e+05 5.4351e+06
1.5515e+05 6.0848e+06
1.6925e+05 6.5012e+06
1.4215e+05 5.7733e+06
1.4275e+05 5.8693e+06
1.3044e+05 5.4205e+06
1.7651e+05 6.7549e+06
38709 1.5359e+06
0 19931
1.303e+05 5.4471e+06
1.3309e+05 5.5449e+06
2.1994e+05 7.8099e+06
1.8925e+05 7.0173e+06
