x y
0 128
26270 0
52541 0
78811 0
1.0508e+05 0
1.3135e+05 0
1.5762e+05 0
1.8389e+05 1
2.1016e+05 11
2.3643e+05 59
2.627e+05 42
2.8897e+05 15
3.1525e+05 0
3.4152e+05 0
3.6779e+05 0
3.9406e+05 0
4.2033e+05 0
4.466e+05 0
4.7287e+05 0
4.9914e+05 0
5.2541e+05 0
5.5168e+05 0
5.7795e+05 0
6.0422e+05 0
6.3049e+05 0
6.5676e+05 0
6.8303e+05 0
7.093e+05 0
7.3557e+05 0
7.6184e+05 0
7.8811e+05 0
8.1438e+05 0
8.4065e+05 0
8.6692e+05 10
8.9319e+05 19
9.1946e+05 93
9.4574e+05 181
9.7201e+05 235
9.9828e+05 212
1.0245e+06 135
1.0508e+06 71
1.0771e+06 37
1.1034e+06 11
1.1296e+06 9
1.1559e+06 7
1.1822e+06 0
1.2084e+06 1
1.2347e+06 1
1.261e+06 0
1.2873e+06 2
