# mean min max
1000000.000000 882650.000000 1182635.000000
2000000.000000 1766130.000000 2549826.000000
3000000.000000 2662709.000000 4050048.000000
4000000.000000 3561258.000000 5607881.000000
5000000.000000 4448780.000000 7241595.000000
6000000.000000 5322277.000000 8988821.000000
7000000.000000 6183151.000000 10755399.000000
8000000.000000 7027821.000000 12646821.000000
9000000.000000 7864993.000000 14617893.000000
10000000.000000 8698556.000000 16635518.000000
11000000.000000 9505149.000000 18825121.000000
12000000.000000 10331264.000000 20910748.000000
13000000.000000 11147224.000000 23054542.000000
14000000.000000 11996871.000000 24931640.000000
15000000.000000 12899219.000000 26251154.000000
16000000.000000 13830204.000000 27215862.000000
17000000.000000 14813392.000000 28242441.000000
18000000.000000 15746849.000000 29284864.000000
19000000.000000 16617128.000000 30312722.000000
20000000.000000 17535563.000000 31376161.000000
21000000.000000 18459406.000000 32442350.000000
22000000.000000 19376613.000000 33491424.000000
23000000.000000 20287177.000000 34547908.000000
24000000.000000 21205839.000000 35573796.000000
25000000.000000 22129356.000000 36612956.000000
26000000.000000 23067198.000000 37642473.000000
27000000.000000 23996493.000000 38676047.000000
28000000.000000 24937405.000000 39707793.000000
29000000.000000 25879351.000000 40743798.000000
30000000.000000 26830696.000000 41766196.000000
31000000.000000 27767129.000000 42792565.000000
32000000.000000 28695501.000000 43810913.000000
33000000.000000 29625116.000000 44828555.000000
34000000.000000 30551607.000000 45852898.000000
35000000.000000 31472553.000000 46874454.000000
36000000.000000 32394227.000000 47892249.000000
37000000.000000 33319686.000000 48910161.000000
38000000.000000 34230562.000000 49912750.000000
39000000.000000 35160904.000000 50908588.000000
40000000.000000 36074351.000000 51921487.000000
41000000.000000 37000962.000000 52940220.000000
42000000.000000 37919149.000000 53948245.000000
43000000.000000 38840304.000000 54975925.000000
44000000.000000 39760896.000000 55997070.000000
45000000.000000 40679813.000000 57009874.000000
46000000.000000 41566692.000000 58015354.000000
47000000.000000 42449793.000000 59022358.000000
48000000.000000 43330186.000000 60016871.000000
49000000.000000 44220873.000000 61037918.000000
50000000.000000 45107429.000000 62050521.000000
51000000.000000 45997125.000000 63058522.000000
52000000.000000 46891127.000000 64115263.000000
53000000.000000 47782979.000000 65195520.000000
54000000.000000 48682603.000000 66291215.000000
55000000.000000 49592338.000000 67388713.000000
56000000.000000 50536709.000000 68467218.000000
57000000.000000 51505575.000000 69538874.000000
58000000.000000 52461209.000000 70605065.000000
59000000.000000 53432600.000000 71670403.000000
60000000.000000 54417657.000000 72710127.000000
61000000.000000 55399284.000000 73741842.000000
62000000.000000 56379116.000000 74765402.000000
63000000.000000 57373764.000000 75783353.000000
64000000.000000 58365719.000000 76796788.000000
65000000.000000 59354891.000000 77812814.000000
66000000.000000 60346394.000000 78832112.000000
67000000.000000 61337469.000000 79843988.000000
68000000.000000 62318989.000000 80852179.000000
69000000.000000 63293173.000000 81862042.000000
70000000.000000 64277105.000000 82878653.000000
71000000.000000 65265555.000000 83891390.000000
72000000.000000 66252547.000000 84896117.000000
73000000.000000 67242229.000000 85903338.000000
74000000.000000 68242197.000000 86903158.000000
75000000.000000 69226926.000000 87907194.000000
76000000.000000 70205392.000000 88911686.000000
77000000.000000 71173172.000000 89905967.000000
78000000.000000 72138833.000000 90906022.000000
79000000.000000 73120436.000000 91902758.000000
79485141.601562 73589973.000000 92388957.000000
