# mean min max
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.830000 3999.830000 3999.830000
3999.841746 3999.830000 4072.000000
3999.859976 3999.830000 4184.000000
3999.891309 3999.830000 4288.000000
3999.992982 3999.830000 4392.000000
4000.183280 3999.830000 4504.000000
4000.612301 3999.830000 4608.000000
4001.720815 3999.830000 4704.000000
4004.320490 3999.830000 4816.000000
4009.609850 3999.830000 4920.000000
4019.993757 3999.830000 5032.000000
4039.277700 3999.830000 5136.000000
4071.533293 3999.830000 5240.000000
4125.440099 3999.830000 5344.000000
4207.285163 3999.830000 5456.000000
4305.679346 3999.830000 5568.000000
4409.322329 3999.830000 5680.000000
4514.090589 4080.000000 5776.000000
4618.178719 4192.000000 5888.000000
4722.004922 4280.000000 5992.000000
4825.845861 4376.000000 6096.000000
4929.080265 4472.000000 6200.000000
5032.377313 4568.000000 6304.000000
5135.715557 4672.000000 6432.000000
5238.668280 4760.000000 6528.000000
5341.102463 4856.000000 6640.000000
5443.501763 4944.000000 6736.000000
5545.480612 5048.000000 6832.000000
5647.243172 5136.000000 6936.000000
5749.140343 5232.000000 7048.000000
5850.571333 5320.000000 7144.000000
5951.748698 5424.000000 7256.000000
6053.095052 5504.000000 7360.000000
6155.021523 5600.000000 7456.000000
6257.119180 5680.000000 7560.000000
6359.798177 5784.000000 7680.000000
6462.761136 5880.000000 7768.000000
6565.958740 5968.000000 7880.000000
6669.546562 6056.000000 7984.000000
6773.161458 6160.000000 8112.000000
6877.307700 6256.000000 8200.000000
6981.181099 6336.000000 8304.000000
7085.434002 6440.000000 8416.000000
7189.637427 6528.000000 8520.000000
7293.888021 6640.000000 8632.000000
7398.313924 6712.000000 8736.000000
7503.790778 6824.000000 8840.000000
7606.728621 6968.000000 8952.000000
7705.331447 7040.000000 9056.000000
7802.818879 7144.000000 9160.000000
7900.656984 7232.000000 9256.000000
7997.938239 7320.000000 9344.000000
8094.103989 7416.000000 9464.000000
8190.432373 7488.000000 9560.000000
8286.250282 7600.000000 9664.000000
8382.030034 7672.000000 9760.000000
8477.939207 7768.000000 9848.000000
8574.202220 7872.000000 9952.000000
8671.347910 7952.000000 10024.000000
8770.444536 8048.000000 10144.000000
8871.205026 8160.000000 10248.000000
8973.621146 8240.000000 10352.000000
9076.304438 8368.000000 10440.000000
9179.039785 8456.000000 10520.000000
9281.831870 8568.000000 10632.000000
9384.415604 8672.000000 10736.000000
9486.770705 8760.000000 10832.000000
9589.075718 8872.000000 10928.000000
9691.172424 8960.000000 11040.000000
9792.996696 9072.000000 11136.000000
9894.600674 9168.000000 11224.000000
9995.988309 9272.000000 11328.000000
10097.245002 9360.000000 11424.000000
10198.352199 9464.000000 11528.000000
10299.419246 9576.000000 11648.000000
10400.322399 9672.000000 11736.000000
10501.774788 9760.000000 11848.000000
10603.413477 9864.000000 11936.000000
10705.137614 9968.000000 12040.000000
10807.133073 10064.000000 12144.000000
10909.564876 10168.000000 12248.000000
11012.523275 10264.000000 12360.000000
11115.592334 10368.000000 12448.000000
11218.879297 10480.000000 12552.000000
11320.238281 10584.000000 12656.000000
